seq,test,journal,correlation,pvalue,lagtime,test2,pvalue2,absCorrelation
207,C_ImpFac_Price,Heliyon,NA,NA,-2,C_ImpFac_Price_lag _2,NA,NA
208,C_ImpFac_Price,Heliyon,-0.555839105,0.002759917,-1,C_ImpFac_Price_lag _1,-0.002759917,0.555839105
209,C_ImpFac_Price,Molecules,-0.171299032,0.356281636,-4,C_ImpFac_Price_lag _4,-0.356281636,0.171299032
210,C_ImpFac_Price,Molecules,0.303915717,0.101706502,-3,C_ImpFac_Price_lag _3,0.101706502,0.303915717
211,C_ImpFac_Price,Molecules,0.388301931,0.036521799,-2,C_ImpFac_Price_lag _2,0.036521799,0.388301931
212,C_ImpFac_Price,Molecules,-0.105870354,0.568590002,-1,C_ImpFac_Price_lag _1,-0.568590002,0.105870354
213,C_ImpFac_Price,BMC Bioinformatics,0.022635962,0.902979492,-4,C_ImpFac_Price_lag _4,0.902979492,0.022635962
214,C_ImpFac_Price,BMC Bioinformatics,-0.167599264,0.366764954,-3,C_ImpFac_Price_lag _3,-0.366764954,0.167599264
215,C_ImpFac_Price,BMC Bioinformatics,0.222984157,0.229826294,-2,C_ImpFac_Price_lag _2,0.229826294,0.222984157
216,C_ImpFac_Price,BMC Bioinformatics,0.085392297,0.645622749,-1,C_ImpFac_Price_lag _1,0.645622749,0.085392297
217,C_ImpFac_Price,Genome Biol,-0.016322176,0.929958059,-4,C_ImpFac_Price_lag _4,-0.929958059,0.016322176
218,C_ImpFac_Price,Genome Biol,0.125923664,0.49769581,-3,C_ImpFac_Price_lag _3,0.49769581,0.125923664
219,C_ImpFac_Price,Genome Biol,0.015440141,0.933734094,-2,C_ImpFac_Price_lag _2,0.933734094,0.015440141
220,C_ImpFac_Price,Genome Biol,-0.285586082,0.124066191,-1,C_ImpFac_Price_lag _1,-0.124066191,0.285586082
221,C_ImpFac_Price,PLoS One,0.021866789,0.906260786,-4,C_ImpFac_Price_lag _4,0.906260786,0.021866789
222,C_ImpFac_Price,PLoS One,-0.000497222,0.997863569,-3,C_ImpFac_Price_lag _3,-0.997863569,0.000497222
223,C_ImpFac_Price,PLoS One,0.045890199,0.804810491,-2,C_ImpFac_Price_lag _2,0.804810491,0.045890199
224,C_ImpFac_Price,PLoS One,-0.003519471,0.984878655,-1,C_ImpFac_Price_lag _1,-0.984878655,0.003519471
225,C_ImpFac_Price,PLoS Biol,-0.067859199,0.714788233,-4,C_ImpFac_Price_lag _4,-0.714788233,0.067859199
226,C_ImpFac_Price,PLoS Biol,-0.139761933,0.451665647,-3,C_ImpFac_Price_lag _3,-0.451665647,0.139761933
227,C_ImpFac_Price,PLoS Biol,0.032980153,0.859034327,-2,C_ImpFac_Price_lag _2,0.859034327,0.032980153
228,C_ImpFac_Price,PLoS Biol,0.487691764,0.008631857,-1,C_ImpFac_Price_lag _1,0.008631857,0.487691764
229,C_ImpFac_Price,PLoS Med,-0.10035649,0.588896222,-4,C_ImpFac_Price_lag _4,-0.588896222,0.10035649
230,C_ImpFac_Price,PLoS Med,-0.075938069,0.682584414,-3,C_ImpFac_Price_lag _3,-0.682584414,0.075938069
231,C_ImpFac_Price,PLoS Med,0.010774688,0.953729932,-2,C_ImpFac_Price_lag _2,0.953729932,0.010774688
232,C_ImpFac_Price,PLoS Med,0.185474061,0.317887522,-1,C_ImpFac_Price_lag _1,0.317887522,0.185474061
233,C_ImpFac_Price,Front Neurosci,0.035894384,0.846726242,-4,C_ImpFac_Price_lag _4,0.846726242,0.035894384
234,C_ImpFac_Price,Front Neurosci,-0.134080757,0.470265598,-3,C_ImpFac_Price_lag _3,-0.470265598,0.134080757
235,C_ImpFac_Price,Front Neurosci,-0.228217603,0.219075778,-2,C_ImpFac_Price_lag _2,-0.219075778,0.228217603
236,C_ImpFac_Price,Front Neurosci,0.1070685,0.564222189,-1,C_ImpFac_Price_lag _1,0.564222189,0.1070685
237,C_ImpFac_Price,Sci Rep,-0.352480987,0.057673927,-4,C_ImpFac_Price_lag _4,-0.057673927,0.352480987
238,C_ImpFac_Price,Sci Rep,0.301641352,0.104292943,-3,C_ImpFac_Price_lag _3,0.104292943,0.301641352
239,C_ImpFac_Price,Sci Rep,-0.18232683,0.326168811,-2,C_ImpFac_Price_lag _2,-0.326168811,0.18232683
240,C_ImpFac_Price,Sci Rep,0.351211018,0.058580412,-1,C_ImpFac_Price_lag _1,0.058580412,0.351211018
241,C_ImpFac_Price,Front Psychiatry,0.108471304,0.559128919,-4,C_ImpFac_Price_lag _4,0.559128919,0.108471304
242,C_ImpFac_Price,Front Psychiatry,-0.075575479,0.68401797,-3,C_ImpFac_Price_lag _3,-0.68401797,0.075575479
243,C_ImpFac_Price,Front Psychiatry,-0.136102519,0.463598383,-2,C_ImpFac_Price_lag _2,-0.463598383,0.136102519
244,C_ImpFac_Price,Front Psychiatry,0.105274796,0.570767089,-1,C_ImpFac_Price_lag _1,0.570767089,0.105274796
245,C_ImpFac_Price,Int J Mol Sci,-0.223046305,0.229696469,-4,C_ImpFac_Price_lag _4,-0.229696469,0.223046305
246,C_ImpFac_Price,Int J Mol Sci,0.133628854,0.471763058,-3,C_ImpFac_Price_lag _3,0.471763058,0.133628854
247,C_ImpFac_Price,Int J Mol Sci,0.237742127,0.200446491,-2,C_ImpFac_Price_lag _2,0.200446491,0.237742127
248,C_ImpFac_Price,Int J Mol Sci,0.236029058,0.203708949,-1,C_ImpFac_Price_lag _1,0.203708949,0.236029058
249,C_ImpFac_Price,Mediators Inflamm,0.317663159,0.087142332,-4,C_ImpFac_Price_lag _4,0.087142332,0.317663159
250,C_ImpFac_Price,Mediators Inflamm,0.054842191,0.767738565,-3,C_ImpFac_Price_lag _3,0.767738565,0.054842191
251,C_ImpFac_Price,Mediators Inflamm,-0.113386188,0.541462232,-2,C_ImpFac_Price_lag _2,-0.541462232,0.113386188
252,C_ImpFac_Price,Mediators Inflamm,-0.270187416,0.14566822,-1,C_ImpFac_Price_lag _1,-0.14566822,0.270187416
253,C_ImpFac_Price,Biomed Res Int,0.019327844,0.917102985,-4,C_ImpFac_Price_lag _4,0.917102985,0.019327844
254,C_ImpFac_Price,Biomed Res Int,-0.020423101,0.912423835,-3,C_ImpFac_Price_lag _3,-0.912423835,0.020423101
255,C_ImpFac_Price,Biomed Res Int,-0.030217611,0.870733534,-2,C_ImpFac_Price_lag _2,-0.870733534,0.030217611
256,C_ImpFac_Price,Biomed Res Int,0.115241604,0.534866109,-1,C_ImpFac_Price_lag _1,0.534866109,0.115241604
257,C_ImpFac_Price,Front Immunol,-0.04205751,0.820822963,-4,C_ImpFac_Price_lag _4,-0.820822963,0.04205751
258,C_ImpFac_Price,Front Immunol,-0.124579438,0.502296465,-3,C_ImpFac_Price_lag _3,-0.502296465,0.124579438
259,C_ImpFac_Price,Front Immunol,-0.073587421,0.69189819,-2,C_ImpFac_Price_lag _2,-0.69189819,0.073587421
260,C_ImpFac_Price,Front Immunol,0.256011372,0.16799855,-1,C_ImpFac_Price_lag _1,0.16799855,0.256011372
261,C_ImpFac_Price,BMC Public Health,-0.028963088,0.876055878,-4,C_ImpFac_Price_lag _4,-0.876055878,0.028963088
262,C_ImpFac_Price,BMC Public Health,0.236799385,0.202237147,-3,C_ImpFac_Price_lag _3,0.202237147,0.236799385
263,C_ImpFac_Price,BMC Public Health,0.635192138,0.000624799,-2,C_ImpFac_Price_lag _2,0.000624799,0.635192138
264,C_ImpFac_Price,BMC Public Health,0.739608426,6.81E-05,-1,C_ImpFac_Price_lag _1,6.80756E-05,0.739608426
265,D_Price_ImpFac,eBioMedicine,0.041855663,0.821668387,-4,D_Price_ImpFac_lag _4,0.821668387,0.041855663
266,D_Price_ImpFac,eBioMedicine,0.199562695,0.282518917,-3,D_Price_ImpFac_lag _3,0.282518917,0.199562695
267,D_Price_ImpFac,eBioMedicine,0.056609338,0.760479929,-2,D_Price_ImpFac_lag _2,0.760479929,0.056609338
268,D_Price_ImpFac,eBioMedicine,-0.615353426,0.00092044,-1,D_Price_ImpFac_lag _1,-0.00092044,0.615353426
269,D_Price_ImpFac,Lancet Glob Health,-0.022067035,0.905406378,-4,D_Price_ImpFac_lag _4,-0.905406378,0.022067035
270,D_Price_ImpFac,Lancet Glob Health,0.152815238,0.410544821,-3,D_Price_ImpFac_lag _3,0.410544821,0.152815238
271,D_Price_ImpFac,Lancet Glob Health,0.052208379,0.778594798,-2,D_Price_ImpFac_lag _2,0.778594798,0.052208379
272,D_Price_ImpFac,Lancet Glob Health,-0.631017048,0.00067848,-1,D_Price_ImpFac_lag _1,-0.00067848,0.631017048
273,D_Price_ImpFac,BMJ Open,-0.054971509,0.767206684,-4,D_Price_ImpFac_lag _4,-0.767206684,0.054971509
274,D_Price_ImpFac,BMJ Open,0.032197971,0.8623438,-3,D_Price_ImpFac_lag _3,0.8623438,0.032197971
275,D_Price_ImpFac,BMJ Open,-0.536794844,0.003843498,-2,D_Price_ImpFac_lag _2,-0.003843498,0.536794844
276,D_Price_ImpFac,BMJ Open,-0.239656469,0.196846031,-1,D_Price_ImpFac_lag _1,-0.196846031,0.239656469
277,D_Price_ImpFac,Nat Commun,-0.043661442,0.814112446,-4,D_Price_ImpFac_lag _4,-0.814112446,0.043661442
278,D_Price_ImpFac,Nat Commun,-0.094836902,0.609552494,-3,D_Price_ImpFac_lag _3,-0.609552494,0.094836902
279,D_Price_ImpFac,Nat Commun,-0.296301003,0.110571486,-2,D_Price_ImpFac_lag _2,-0.110571486,0.296301003
280,D_Price_ImpFac,Nat Commun,-0.231482728,0.212554238,-1,D_Price_ImpFac_lag _1,-0.212554238,0.231482728
281,D_Price_ImpFac,Sci Adv,0.096094055,0.604819506,-4,D_Price_ImpFac_lag _4,0.604819506,0.096094055
282,D_Price_ImpFac,Sci Adv,0.589155868,0.001510277,-3,D_Price_ImpFac_lag _3,0.001510277,0.589155868
283,D_Price_ImpFac,Sci Adv,0.245160777,0.186757841,-2,D_Price_ImpFac_lag _2,0.186757841,0.245160777
284,D_Price_ImpFac,Sci Adv,0.42715446,0.02143139,-1,D_Price_ImpFac_lag _1,0.02143139,0.42715446
285,D_Price_ImpFac,JAMA Netw Open,NA,NA,-4,D_Price_ImpFac_lag _4,NA,NA
286,D_Price_ImpFac,JAMA Netw Open,NA,NA,-3,D_Price_ImpFac_lag _3,NA,NA
287,D_Price_ImpFac,JAMA Netw Open,NA,NA,-2,D_Price_ImpFac_lag _2,NA,NA
288,D_Price_ImpFac,JAMA Netw Open,NA,NA,-1,D_Price_ImpFac_lag _1,NA,NA
289,D_Price_ImpFac,Cell Rep,-0.231574822,0.212372351,-4,D_Price_ImpFac_lag _4,-0.212372351,0.231574822
290,D_Price_ImpFac,Cell Rep,0.163021896,0.379998111,-3,D_Price_ImpFac_lag _3,0.379998111,0.163021896
291,D_Price_ImpFac,Cell Rep,0.290969694,0.117133449,-2,D_Price_ImpFac_lag _2,0.117133449,0.290969694
292,D_Price_ImpFac,Cell Rep,-0.370983644,0.045737473,-1,D_Price_ImpFac_lag _1,-0.045737473,0.370983644
293,D_Price_ImpFac,Heliyon,-0.286966265,0.122259057,-4,D_Price_ImpFac_lag _4,-0.122259057,0.286966265
294,D_Price_ImpFac,Heliyon,0.509301907,0.006094102,-3,D_Price_ImpFac_lag _3,0.006094102,0.509301907
295,D_Price_ImpFac,Heliyon,-0.446911628,0.016097706,-2,D_Price_ImpFac_lag _2,-0.016097706,0.446911628
296,D_Price_ImpFac,Heliyon,0.187803837,0.311846736,-1,D_Price_ImpFac_lag _1,0.311846736,0.187803837
297,D_Price_ImpFac,Molecules,0.142497612,0.442859702,-4,D_Price_ImpFac_lag _4,0.442859702,0.142497612
298,D_Price_ImpFac,Molecules,-0.050310955,0.786442731,-3,D_Price_ImpFac_lag _3,-0.786442731,0.050310955
299,D_Price_ImpFac,Molecules,-0.081039171,0.662539798,-2,D_Price_ImpFac_lag _2,-0.662539798,0.081039171
300,D_Price_ImpFac,Molecules,-0.266399837,0.151399111,-1,D_Price_ImpFac_lag _1,-0.151399111,0.266399837
301,D_Price_ImpFac,BMC Bioinformatics,-0.124365617,0.503030342,-4,D_Price_ImpFac_lag _4,-0.503030342,0.124365617
302,D_Price_ImpFac,BMC Bioinformatics,0.155195496,0.403293691,-3,D_Price_ImpFac_lag _3,0.403293691,0.155195496
303,D_Price_ImpFac,BMC Bioinformatics,-0.380264771,0.040580731,-2,D_Price_ImpFac_lag _2,-0.040580731,0.380264771
304,D_Price_ImpFac,BMC Bioinformatics,-0.447656445,0.015921776,-1,D_Price_ImpFac_lag _1,-0.015921776,0.447656445
305,D_Price_ImpFac,Genome Biol,0.088145714,0.635015648,-4,D_Price_ImpFac_lag _4,0.635015648,0.088145714
306,D_Price_ImpFac,Genome Biol,-0.138378195,0.456157237,-3,D_Price_ImpFac_lag _3,-0.456157237,0.138378195
307,D_Price_ImpFac,Genome Biol,-0.187109122,0.313640064,-2,D_Price_ImpFac_lag _2,-0.313640064,0.187109122
308,D_Price_ImpFac,Genome Biol,-0.17943395,0.333903395,-1,D_Price_ImpFac_lag _1,-0.333903395,0.17943395
309,D_Price_ImpFac,PLoS One,-0.030493173,0.869565231,-4,D_Price_ImpFac_lag _4,-0.869565231,0.030493173
310,D_Price_ImpFac,PLoS One,0.023053957,0.901197019,-3,D_Price_ImpFac_lag _3,0.901197019,0.023053957
311,D_Price_ImpFac,PLoS One,0.08240951,0.657195292,-2,D_Price_ImpFac_lag _2,0.657195292,0.08240951
312,D_Price_ImpFac,PLoS One,0.082867731,0.655412056,-1,D_Price_ImpFac_lag _1,0.655412056,0.082867731
313,D_Price_ImpFac,PLoS Biol,-0.018509819,0.92059963,-4,D_Price_ImpFac_lag _4,-0.92059963,0.018509819
314,D_Price_ImpFac,PLoS Biol,0.104895118,0.572157091,-3,D_Price_ImpFac_lag _3,0.572157091,0.104895118
315,D_Price_ImpFac,PLoS Biol,-0.207443484,0.263944152,-2,D_Price_ImpFac_lag _2,-0.263944152,0.207443484
316,D_Price_ImpFac,PLoS Biol,-0.151468603,0.414681241,-1,D_Price_ImpFac_lag _1,-0.414681241,0.151468603
317,D_Price_ImpFac,PLoS Med,0.197707589,0.287017164,-4,D_Price_ImpFac_lag _4,0.287017164,0.197707589
318,D_Price_ImpFac,PLoS Med,0.181565225,0.328193702,-3,D_Price_ImpFac_lag _3,0.328193702,0.181565225
319,D_Price_ImpFac,PLoS Med,-0.269044218,0.147380189,-2,D_Price_ImpFac_lag _2,-0.147380189,0.269044218
320,D_Price_ImpFac,PLoS Med,-0.177638806,0.338761995,-1,D_Price_ImpFac_lag _1,-0.338761995,0.177638806
321,D_Price_ImpFac,Front Neurosci,0.046239768,0.803353997,-4,D_Price_ImpFac_lag _4,0.803353997,0.046239768
322,D_Price_ImpFac,Front Neurosci,0.195573228,0.292252058,-3,D_Price_ImpFac_lag _3,0.292252058,0.195573228
323,D_Price_ImpFac,Front Neurosci,0.05994781,0.746824872,-2,D_Price_ImpFac_lag _2,0.746824872,0.05994781
324,D_Price_ImpFac,Front Neurosci,-0.055635983,0.764475465,-1,D_Price_ImpFac_lag _1,-0.764475465,0.055635983
325,D_Price_ImpFac,Sci Rep,0.145151882,0.434410414,-4,D_Price_ImpFac_lag _4,0.434410414,0.145151882
326,D_Price_ImpFac,Sci Rep,0.061523517,0.740407109,-3,D_Price_ImpFac_lag _3,0.740407109,0.061523517
327,D_Price_ImpFac,Sci Rep,-0.428868307,0.020914382,-2,D_Price_ImpFac_lag _2,-0.020914382,0.428868307
328,D_Price_ImpFac,Sci Rep,-0.360233622,0.052389726,-1,D_Price_ImpFac_lag _1,-0.052389726,0.360233622
329,D_Price_ImpFac,Front Psychiatry,0.06563134,0.723761913,-4,D_Price_ImpFac_lag _4,0.723761913,0.06563134
330,D_Price_ImpFac,Front Psychiatry,0.299586783,0.106674091,-3,D_Price_ImpFac_lag _3,0.106674091,0.299586783
331,D_Price_ImpFac,Front Psychiatry,0.103577844,0.576992053,-2,D_Price_ImpFac_lag _2,0.576992053,0.103577844
332,D_Price_ImpFac,Front Psychiatry,0.319687705,0.085147264,-1,D_Price_ImpFac_lag _1,0.085147264,0.319687705
333,D_Price_ImpFac,Int J Mol Sci,-0.446165018,0.016275772,-4,D_Price_ImpFac_lag _4,-0.016275772,0.446165018
334,D_Price_ImpFac,Int J Mol Sci,0.120582128,0.516109183,-3,D_Price_ImpFac_lag _3,0.516109183,0.120582128
335,D_Price_ImpFac,Int J Mol Sci,-0.003563107,0.984691195,-2,D_Price_ImpFac_lag _2,-0.984691195,0.003563107
336,D_Price_ImpFac,Int J Mol Sci,-0.510254349,0.005999591,-1,D_Price_ImpFac_lag _1,-0.005999591,0.510254349
337,D_Price_ImpFac,Mediators Inflamm,0.248995258,0.179959255,-4,D_Price_ImpFac_lag _4,0.179959255,0.248995258
338,D_Price_ImpFac,Mediators Inflamm,0.200732286,0.279707592,-3,D_Price_ImpFac_lag _3,0.279707592,0.200732286
339,D_Price_ImpFac,Mediators Inflamm,-0.172077477,0.354100198,-2,D_Price_ImpFac_lag _2,-0.354100198,0.172077477
340,D_Price_ImpFac,Mediators Inflamm,0.23250793,0.210535787,-1,D_Price_ImpFac_lag _1,0.210535787,0.23250793
341,D_Price_ImpFac,Biomed Res Int,0.050464709,0.785805968,-4,D_Price_ImpFac_lag _4,0.785805968,0.050464709
342,D_Price_ImpFac,Biomed Res Int,-0.034013627,0.854665426,-3,D_Price_ImpFac_lag _3,-0.854665426,0.034013627
343,D_Price_ImpFac,Biomed Res Int,-0.032023222,0.86308351,-2,D_Price_ImpFac_lag _2,-0.86308351,0.032023222
344,D_Price_ImpFac,Biomed Res Int,-0.03292499,0.859267647,-1,D_Price_ImpFac_lag _1,-0.859267647,0.03292499
345,D_Price_ImpFac,Front Immunol,0.210097637,0.257882395,-4,D_Price_ImpFac_lag _4,0.257882395,0.210097637
346,D_Price_ImpFac,Front Immunol,0.087750318,0.636534317,-3,D_Price_ImpFac_lag _3,0.636534317,0.087750318
347,D_Price_ImpFac,Front Immunol,-0.295601523,0.111415509,-2,D_Price_ImpFac_lag _2,-0.111415509,0.295601523
348,D_Price_ImpFac,Front Immunol,-0.030167274,0.870946977,-1,D_Price_ImpFac_lag _1,-0.870946977,0.030167274
349,D_Price_ImpFac,BMC Public Health,0.092793532,0.617280373,-4,D_Price_ImpFac_lag _4,0.617280373,0.092793532
350,D_Price_ImpFac,BMC Public Health,0.144622388,0.43608847,-3,D_Price_ImpFac_lag _3,0.43608847,0.144622388
351,D_Price_ImpFac,BMC Public Health,-0.082023099,0.658700588,-2,D_Price_ImpFac_lag _2,-0.658700588,0.082023099
352,D_Price_ImpFac,BMC Public Health,-0.178555275,0.336275906,-1,D_Price_ImpFac_lag _1,-0.336275906,0.178555275
353,E_PubNum_Price,eBioMedicine,0.419006672,0.024044341,-4,E_PubNum_Price_lag _4,0.024044341,0.419006672
354,E_PubNum_Price,eBioMedicine,-0.51975384,0.005126747,-3,E_PubNum_Price_lag _3,-0.005126747,0.51975384
355,E_PubNum_Price,eBioMedicine,-0.027564755,0.881994945,-2,E_PubNum_Price_lag _2,-0.881994945,0.027564755
356,E_PubNum_Price,eBioMedicine,0.021759127,0.906720202,-1,E_PubNum_Price_lag _1,0.906720202,0.021759127
357,E_PubNum_Price,Lancet Glob Health,0.346918529,0.061732324,-4,E_PubNum_Price_lag _4,0.061732324,0.346918529
358,E_PubNum_Price,Lancet Glob Health,-0.255784891,0.168375082,-3,E_PubNum_Price_lag _3,-0.168375082,0.255784891
359,E_PubNum_Price,Lancet Glob Health,0.22357201,0.228600354,-2,E_PubNum_Price_lag _2,0.228600354,0.22357201
360,E_PubNum_Price,Lancet Glob Health,-0.617433746,0.000884241,-1,E_PubNum_Price_lag _1,-0.000884241,0.617433746
361,E_PubNum_Price,BMJ Open,-0.154569187,0.40519418,-4,E_PubNum_Price_lag _4,-0.40519418,0.154569187
362,E_PubNum_Price,BMJ Open,0.37923501,0.04112743,-3,E_PubNum_Price_lag _3,0.04112743,0.37923501
363,E_PubNum_Price,BMJ Open,-0.583222552,0.001685161,-2,E_PubNum_Price_lag _2,-0.001685161,0.583222552
364,E_PubNum_Price,BMJ Open,0.201563397,0.277721462,-1,E_PubNum_Price_lag _1,0.277721462,0.201563397
365,E_PubNum_Price,Nat Commun,-0.525443183,0.00466065,-4,E_PubNum_Price_lag _4,-0.00466065,0.525443183
366,E_PubNum_Price,Nat Commun,-0.486383545,0.008812191,-3,E_PubNum_Price_lag _3,-0.008812191,0.486383545
367,E_PubNum_Price,Nat Commun,-0.39300626,0.034310506,-2,E_PubNum_Price_lag _2,-0.034310506,0.39300626
368,E_PubNum_Price,Nat Commun,-0.251742467,0.175202702,-1,E_PubNum_Price_lag _1,-0.175202702,0.251742467
369,E_PubNum_Price,Sci Adv,-0.037688197,0.839168523,-4,E_PubNum_Price_lag _4,-0.839168523,0.037688197
370,E_PubNum_Price,Sci Adv,-0.426326508,0.021685117,-3,E_PubNum_Price_lag _3,-0.021685117,0.426326508
371,E_PubNum_Price,Sci Adv,-0.005088405,0.978139182,-2,E_PubNum_Price_lag _2,-0.978139182,0.005088405
372,E_PubNum_Price,Sci Adv,0.049137599,0.791306779,-1,E_PubNum_Price_lag _1,0.791306779,0.049137599
373,E_PubNum_Price,JAMA Netw Open,NA,NA,-4,E_PubNum_Price_lag _4,NA,NA
374,E_PubNum_Price,JAMA Netw Open,NA,NA,-3,E_PubNum_Price_lag _3,NA,NA
375,E_PubNum_Price,JAMA Netw Open,NA,NA,-2,E_PubNum_Price_lag _2,NA,NA
376,E_PubNum_Price,JAMA Netw Open,NA,NA,-1,E_PubNum_Price_lag _1,NA,NA
377,E_PubNum_Price,Cell Rep,-0.260844193,0.160113788,-4,E_PubNum_Price_lag _4,-0.160113788,0.260844193
378,E_PubNum_Price,Cell Rep,-0.121891165,0.511564211,-3,E_PubNum_Price_lag _3,-0.511564211,0.121891165
379,E_PubNum_Price,Cell Rep,-0.318119782,0.086689094,-2,E_PubNum_Price_lag _2,-0.086689094,0.318119782
380,E_PubNum_Price,Cell Rep,-0.169390189,0.361666558,-1,E_PubNum_Price_lag _1,-0.361666558,0.169390189
381,E_PubNum_Price,Heliyon,0.192122668,0.300850039,-4,E_PubNum_Price_lag _4,0.300850039,0.192122668
382,E_PubNum_Price,Heliyon,0.216771765,0.243068376,-3,E_PubNum_Price_lag _3,0.243068376,0.216771765
383,E_PubNum_Price,Heliyon,-0.119947484,0.518320175,-2,E_PubNum_Price_lag _2,-0.518320175,0.119947484
384,E_PubNum_Price,Heliyon,0.108178304,0.56019089,-1,E_PubNum_Price_lag _1,0.56019089,0.108178304
385,E_PubNum_Price,Molecules,0.526572609,0.00457282,-4,E_PubNum_Price_lag _4,0.00457282,0.526572609
386,E_PubNum_Price,Molecules,-0.021470458,0.907952163,-3,E_PubNum_Price_lag _3,-0.907952163,0.021470458
387,E_PubNum_Price,Molecules,0.151473576,0.414665921,-2,E_PubNum_Price_lag _2,0.414665921,0.151473576
388,E_PubNum_Price,Molecules,0.164706814,0.375093255,-1,E_PubNum_Price_lag _1,0.375093255,0.164706814
389,E_PubNum_Price,BMC Bioinformatics,0.462567182,0.012738394,-4,E_PubNum_Price_lag _4,0.012738394,0.462567182
390,E_PubNum_Price,BMC Bioinformatics,0.45624612,0.014011807,-3,E_PubNum_Price_lag _3,0.014011807,0.45624612
391,E_PubNum_Price,BMC Bioinformatics,0.503601744,0.006688295,-2,E_PubNum_Price_lag _2,0.006688295,0.503601744
392,E_PubNum_Price,BMC Bioinformatics,0.329046472,0.076399623,-1,E_PubNum_Price_lag _1,0.076399623,0.329046472
393,E_PubNum_Price,Genome Biol,0.182998053,0.324390966,-4,E_PubNum_Price_lag _4,0.324390966,0.182998053
394,E_PubNum_Price,Genome Biol,-0.40198733,0.030405455,-3,E_PubNum_Price_lag _3,-0.030405455,0.40198733
395,E_PubNum_Price,Genome Biol,0.206641527,0.265794902,-2,E_PubNum_Price_lag _2,0.265794902,0.206641527
396,E_PubNum_Price,Genome Biol,0.415177803,0.025364816,-1,E_PubNum_Price_lag _1,0.025364816,0.415177803
397,E_PubNum_Price,PLoS One,-0.110721393,0.551006259,-4,E_PubNum_Price_lag _4,-0.551006259,0.110721393
398,E_PubNum_Price,PLoS One,-0.096993283,0.601444196,-3,E_PubNum_Price_lag _3,-0.601444196,0.096993283
399,E_PubNum_Price,PLoS One,-0.100957184,0.586667841,-2,E_PubNum_Price_lag _2,-0.586667841,0.100957184
400,E_PubNum_Price,PLoS One,-0.10880161,0.557932907,-1,E_PubNum_Price_lag _1,-0.557932907,0.10880161
401,E_PubNum_Price,PLoS Biol,0.286453414,0.122928138,-4,E_PubNum_Price_lag _4,0.122928138,0.286453414
402,E_PubNum_Price,PLoS Biol,-0.09780146,0.598417923,-3,E_PubNum_Price_lag _3,-0.598417923,0.09780146
403,E_PubNum_Price,PLoS Biol,-0.210444352,0.25709773,-2,E_PubNum_Price_lag _2,-0.25709773,0.210444352
404,E_PubNum_Price,PLoS Biol,0.417955383,0.02440083,-1,E_PubNum_Price_lag _1,0.02440083,0.417955383
405,E_PubNum_Price,PLoS Med,0.088048893,0.635387383,-4,E_PubNum_Price_lag _4,0.635387383,0.088048893
406,E_PubNum_Price,PLoS Med,0.151509302,0.414555868,-3,E_PubNum_Price_lag _3,0.414555868,0.151509302
407,E_PubNum_Price,PLoS Med,0.004537966,0.980503482,-2,E_PubNum_Price_lag _2,0.980503482,0.004537966
408,E_PubNum_Price,PLoS Med,0.021615417,0.90733349,-1,E_PubNum_Price_lag _1,0.90733349,0.021615417
409,E_PubNum_Price,Front Neurosci,0.131506425,0.478831142,-4,E_PubNum_Price_lag _4,0.478831142,0.131506425
410,E_PubNum_Price,Front Neurosci,-0.072533193,0.696090561,-3,E_PubNum_Price_lag _3,-0.696090561,0.072533193
411,E_PubNum_Price,Front Neurosci,0.442621273,0.017144761,-2,E_PubNum_Price_lag _2,0.017144761,0.442621273
412,E_PubNum_Price,Front Neurosci,-0.051632676,0.780973618,-1,E_PubNum_Price_lag _1,-0.780973618,0.051632676
413,E_PubNum_Price,Sci Rep,0.032829251,0.859672617,-4,E_PubNum_Price_lag _4,0.859672617,0.032829251
414,E_PubNum_Price,Sci Rep,-0.394696957,0.033544234,-3,E_PubNum_Price_lag _3,-0.033544234,0.394696957
415,E_PubNum_Price,Sci Rep,0.137912987,0.457672919,-2,E_PubNum_Price_lag _2,0.457672919,0.137912987
416,E_PubNum_Price,Sci Rep,-0.369047808,0.04687994,-1,E_PubNum_Price_lag _1,-0.04687994,0.369047808
417,E_PubNum_Price,Front Psychiatry,-0.306004143,0.099376735,-4,E_PubNum_Price_lag _4,-0.099376735,0.306004143
418,E_PubNum_Price,Front Psychiatry,-0.208881274,0.260648328,-3,E_PubNum_Price_lag _3,-0.260648328,0.208881274
419,E_PubNum_Price,Front Psychiatry,0.113620876,0.540625662,-2,E_PubNum_Price_lag _2,0.540625662,0.113620876
420,E_PubNum_Price,Front Psychiatry,-0.011184367,0.951972723,-1,E_PubNum_Price_lag _1,-0.951972723,0.011184367
421,E_PubNum_Price,Int J Mol Sci,-0.00638658,0.972563938,-4,E_PubNum_Price_lag _4,-0.972563938,0.00638658
422,E_PubNum_Price,Int J Mol Sci,-0.111104482,0.549629138,-3,E_PubNum_Price_lag _3,-0.549629138,0.111104482
423,E_PubNum_Price,Int J Mol Sci,-0.052525937,0.777283526,-2,E_PubNum_Price_lag _2,-0.777283526,0.052525937
424,E_PubNum_Price,Int J Mol Sci,0.187687254,0.312147208,-1,E_PubNum_Price_lag _1,0.312147208,0.187687254
425,E_PubNum_Price,Mediators Inflamm,-0.31405414,0.090792253,-4,E_PubNum_Price_lag _4,-0.090792253,0.31405414
